"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"100800","WEST TEXAS"," ET Genco Fuel","MQ","DPQ","D","3880","3880","100","3780","N","N","N","Y",""
"100734","WEST TEXAS","3 BEAR LEA","M2","RPQ","R","55000","60000","47232","12768","Y","N","N","Y",""
"28786","PANHANDLE","ADOBE OWENS CORNING","MQ","DPQ","D","13000","13000","5000","8000","N","N","N","Y",""
"79049","PANHANDLE","ATMOS AIRPORT I/C","MQ","DPQ","D","250","250","1","249","N","N","N","Y",""
"79052","PANHANDLE","ATMOS CANYON WEST I/C","MQ","DPQ","D","3000","3000","175","2825","N","N","N","Y",""
"79058","PANHANDLE","ATMOS PAMPA NORTH","MQ","DPQ","D","15600","15600","400","15200","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","M2","RPQ","R","85000","85000","61075","23925","N","N","N","Y",""
"78474","PANHANDLE","ATMOS RANDALL COUNTY","MQ","DPQ","D","120000","120000","2554","117446","N","N","N","Y",""
"100732","PHOENIX","Arlington Valley Plant","MQ","DPQ","D","250000","250000","5000","245000","N","N","N","Y",""
"78113","W. THOREAU","CALPINE SO. POINT POWER DEL","MQ","DPQ","D","90000","100000","4886","95114","N","N","N","Y",""
"78424","SAN JUAN","CONOCO BLANCO PLANT I/C","M2","RPQ","R","550000","550000","55000","495000","Y","N","N","Y",""
"78477","PANHANDLE","DAIRICONCEPTS - ROOSEVELT","MQ","DPQ","D","6000","6000","1300","4700","N","N","N","Y",""
"10703","CENTRAL","DCP Artesia","M2","RPQ","R","43000","38000","31844","6156","Y","N","Y","Y",""
"79029","CENTRAL","DCP FUEL TAP EDDY","MQ","DPQ","D","1000","1500","169","1331","Y","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","45068","79932","N","N","N","Y",""
"78491","PHOENIX","DESERT BASIN PLANT","MQ","DPQ","D","210000","150000","46920","103080","N","N","N","Y",""
